iter	Passed	Remaining
984	3249915	49491
985	3253579	46196
986	3257027	42899
987	3260413	39600
988	3264171	36305
989	3268161	33011
990	3271667	29712
991	3275465	26415
992	3278760	23113
993	3282524	19814
994	3286797	16516
995	3290902	13216
996	3295218	9915
997	3299335	6611
998	3302983	3306
999	3306489	0
